ID,Nivel,Nombre de Tarea,Estado,Asignado,Inicio,Fin,Avance,Duración,Predecesores
,4,                Fin despliegue aplicación,No se ha iniciado,Sixmanager,16/04/26,16/04/26,0%,0,57.0
,4,                Integración de componentes,,,13/04/26,24/04/26,0%,"9,5d",
,4,                Integración de OCP con Storage vía CSI,No se ha iniciado,"Sixmanager, BCI",13/04/26,13/04/26,0%,1d,44.0
,4,                Integración con Observabilidad y monitoreo de cliente (Nagios - Dynatrace),No se ha iniciado,"Sixmanager, BCI",16/04/26,23/04/26,0%,5d,58.0
,4,                Integración Active Directory,No se ha iniciado,"Sixmanager, BCI",23/04/26,24/04/26,0%,1d,61.0
,4,                Despliegue de aplicaciones en GIT,No se ha iniciado,"Sixmanager, BCI",14/04/26,14/04/26,0%,1d,53.0
,4,                Integración con Respaldos de cliente,No se ha iniciado,"Sixmanager, BCI",16/04/26,23/04/26,0%,5d,58.0
,4,                Fin Etapa integración,No se ha iniciado,Sixmanager,23/04/26,23/04/26,0%,0,64.0
,4,                Cierre formal de la Fase 1,,,16/04/26,29/04/26,0%,9d,
,4,                Documentación,No se ha iniciado,Sixmanager,16/04/26,22/04/26,0%,4d,58.0
,4,                Pruebas Funcionales,No se ha iniciado,"Sixmanager, BCI",22/04/26,27/04/26,0%,3d,67.0
,4,                Reunión de entrega de documentación y presentación de la solución,No se ha iniciado,"Sixmanager, BCI",27/04/26,28/04/26,0%,1d,68.0
,4,                Soporte post implementación (evolutivo),No se ha iniciado,"Sixmanager, BCI",28/04/26,29/04/26,0%,1d,69.0
,4,                Cierre Proyecto Etapa Preproducción,No se ha iniciado,"Sixmanager, BCI",28/04/26,28/04/26,0%,0,69.0
,1,    Ambiente Productivo / DR,No se ha iniciado,,,,0%,,
,4,                Habilitacion de infrastructura fisica (Pre requisitos),,,,,0%,,
,4,                Datacenter Aconcagua,En progreso,,,,0%,,
,4,                Direccionamiento IP / VLAN / PORT,No se ha iniciado,BCI,,,0%,,
,4,                Gestión de accesos al datacenter (para conectividad de red de equipos),No se ha iniciado,BCI,,,0%,,
,4,                Espacio en data center para nuevo HW (Ru's),No se ha iniciado,BCI,,,0%,,
,4,                Arribo de servidores DELL Producción,No se ha iniciado,Sixmanager,,,0%,,
,4,                Ingreso hardware a data center BCI,No se ha iniciado,Sixmanager,,,0%,,
,4,                Disponibilidad de puertas para conectividad,No se ha iniciado,BCI,,,0%,,
,4,                Rackeo y conecticvidad de equipos en Aconcagua (Encendido y sanity boot),No se ha iniciado,Sixmanager,,,0%,,
,4,                Datacenter Longovilo,No se ha iniciado,,,,0%,,
,4,                Direccionamiento IP / VLAN / PORT,No se ha iniciado,BCI,,,0%,,
,4,                Gestión de accesos al datacenter (para ingreso de equipos),No se ha iniciado,BCI,,,0%,,
,4,                Espacio en data center para nuevo HW (Ru's),No se ha iniciado,BCI,,,0%,,
,4,                Arribo de servidores DELL DR,No se ha iniciado,BCI,,,0%,,
,4,                Ingreso hardware a data center BCI,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Disponibilidad de puertas para conectividad,No se ha iniciado,BCI,,,0%,,
,4,                Rackeo y conecticvidad de equipos en Longovilo(Encendido y sanity boot),No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Infraestructura instalada,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Plan de implementacion,,,,,0%,,
,4,                Revisión y levantamiento de infraestructura actual,No se ha iniciado,Sixmanager,,,0%,,
,4,                Diseño detallado de arquitectura preproductiva,No se ha iniciado,Sixmanager,,,0%,,
,4,                Aprobación de diseño por parte del cliente,No se ha iniciado,BCI,,,0%,,
,4,                Prerrequisitos,,,,,0%,,
,4,                Prerrequisitos Producción,No se ha iniciado,,,,0%,,
,4,                Entrega documento prerrequisitos Producción,No se ha iniciado,Sixmanager,,,0%,,
,4,                Reglas de acceso (Permisos en firewall entre redes y hacia internet),No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,"                Registros DNS requeridos (Subdominios, registros tipo A, Reversos)",No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Generación de certificados,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Accesos a servicios de red (Load Balancer / NTP),No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Validación de Prerrequisitos,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Prerrequisitos DR,No se ha iniciado,,,,0%,,
,4,                Entrega documento prerrequisitos,No se ha iniciado,Sixmanager,,,0%,,
,4,                Reglas de acceso (Permisos en firewall entre redes y hacia internet),No se ha iniciado,BCI,,,0%,,
,4,"                Registros DNS requeridos (Subdominios, registros tipo A, Reversos)",No se ha iniciado,BCI,,,0%,,
,4,                Generación de certificados,No se ha iniciado,BCI,,,0%,,
,4,                Accesos a servicios de red (Load Balancer / NTP),No se ha iniciado,BCI,,,0%,,
,4,                Validación de Prerrequisitos,No se ha iniciado,Sixmanager,,,0%,,
,4,                Prerrequisitos entregados,No se ha iniciado,BCI,,,0%,,
,4,                Integración Storage Datacenter Aconcagua,,,,,0%,,
,4,                Zonificación,No se ha iniciado,BCI,,,0%,,
,4,                Envío de prerrequisitos,No se ha iniciado,Sixmanager,,,0%,,
,4,                Publicación de LUN para OLVM,No se ha iniciado,BCI,,,0%,,
,4,                Publicación de LUNS para BBDD Productiva,No se ha iniciado,BCI,,,0%,,
,4,                Creación de accesos para driver CSI y publicación de volumen,No se ha iniciado,BCI,,,0%,,
,4,                Pruebas de conectividad hacia storage,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Integración Storage Aconcagua finalizada,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Integración Storage Datacenter Longovilo,,,,,0%,,
,4,                Zonificación,No se ha iniciado,BCI,,,0%,,
,4,                Envío de prerrequisitos,No se ha iniciado,Sixmanager,,,0%,,
,4,                Publicación de LUN para OLVM,No se ha iniciado,BCI,,,0%,,
,4,                Publicación de LUNS para BBDD Productiva,No se ha iniciado,BCI,,,0%,,
,4,                Creación de accesos para driver CSI y publicación de volumen,No se ha iniciado,BCI,,,0%,,
,4,                Pruebas de conectividad hacia storage,No se ha iniciado,BCI,,,0%,,
,4,                Integración Storage Longovilo finalizada,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Habilitación Cluster Openshift Productivo,,,,,0%,,
,4,                Despliegue Openshift Bare Metal,No se ha iniciado,Sixmanager,,,0%,,
,4,                Configuraciones Post Instalación,No se ha iniciado,Sixmanager,,,0%,,
,4,                Integración con redes de cliente,No se ha iniciado,Sixmanager,,,0%,,
,4,                Habilitación de operador CSI,No se ha iniciado,Sixmanager,,,0%,,
,4,                Pruebas Funcionales,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Sesión de entrega,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Cluster Preproductivo instalado,No se ha iniciado,Sixmanager,,,0%,,
,4,                Habilitación OLVM y BD Producción,,,,,0%,,
,4,                Instalación OLVM,No se ha iniciado,Sixmanager,,,0%,,
,4,                Habilitación Servidores B.D.,No se ha iniciado,Sixmanager,,,0%,,
,4,                Habilitación y configuración Base de datos Oracle Rac,No se ha iniciado,Sixmanager,,,0%,,
,4,                Configuración Dataguard,No se ha iniciado,Sixmanager,,,0%,,
,4,                Integración con redes del cliente,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Pruebas funcionales HA,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Creación de Esquemas de BD,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Sesión de entrega,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Habilitación OLVM y BD Finalizada,No se ha iniciado,Sixmanager,,,0%,,
,4,                Habilitación Cluster Openshift DR,,,,,0%,,
,4,                Despliegue Openshift Bare Metal,No se ha iniciado,Sixmanager,,,0%,,
,4,                Configuraciones Post Instalación,No se ha iniciado,Sixmanager,,,0%,,
,4,                Integración con redes de cliente,No se ha iniciado,Sixmanager,,,0%,,
,4,                Habilitación de operador CSI,No se ha iniciado,Sixmanager,,,0%,,
,4,                Pruebas Funcionales,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Sesión de entrega,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Cluster Preproductivo instalado,No se ha iniciado,Sixmanager,,,0%,,
,4,                Habilitación OLVM y BD DR,,,,,0%,,
,4,                Instalación OLVM,No se ha iniciado,Sixmanager,,,0%,,
,4,                Habilitación Servidores B.D.,No se ha iniciado,Sixmanager,,,0%,,
,4,                Habilitación y configuración Base de datos Oracle Rac,No se ha iniciado,Sixmanager,,,0%,,
,4,                Configuración Dataguard,No se ha iniciado,Sixmanager,,,0%,,
,4,                Integración con redes del cliente,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Pruebas funcionales HA,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Creación de Esquemas de BD,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Sesión de entrega,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Habilitación OLVM y BD Finalizada,No se ha iniciado,Sixmanager,,,0%,,
,4,                Plan de pruebas Replicación de LUNS,,,,,0%,,
,4,                Reunión de definiciones,No se ha iniciado,Sixmanager,,,0%,,
,4,                Pruebas de replica y restauración de LUNS,No se ha iniciado,Sixmanager,,,0%,,
,4,                Integración de componentes,,,,,0%,,
,4,                Integración de OCP con B.D.,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Integración de OCP con Storage vía CSI,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Integración de OLVM con Storage,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Integración con Observabilidad y monitoreo de cliente (Nagios - Dynatrace),No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Integración Active Directory,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Integración con repositorio Git,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Integración con Respaldos de cliente,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Fin Etapa integración,No se ha iniciado,,,,0%,,
,4,                Despliegue de aplicaciones Producción / DR,,,,,0%,,
,4,                Revisión de prerrequisitos,No se ha iniciado,"Sixmanager, BCI, Calypso",,,0%,,
,4,                Definicion de rutas productivas (*),No se ha iniciado,"Sixmanager, BCI, Calypso",,,0%,,
,4,                Despliegue de aplicaciones en GIT,No se ha iniciado,"Sixmanager, BCI, Calypso",,,0%,,
,4,                Construcción de imagen y compilación de aplicación,No se ha iniciado,"Sixmanager, BCI, Calypso",,,0%,,
,4,                Carga de imagen a registry,No se ha iniciado,"Sixmanager, BCI, Calypso",,,0%,,
,4,                Creación de archivos deployment,No se ha iniciado,"Sixmanager, BCI, Calypso",,,0%,,
,4,                Creación de variables de ambientes por módulos,No se ha iniciado,"Sixmanager, BCI, Calypso",,,0%,,
,4,                Crear PV para cada aplicación,No se ha iniciado,"Sixmanager, BCI, Calypso",,,0%,,
,4,                Crear PVC para cada aplicación,No se ha iniciado,"Sixmanager, BCI, Calypso",,,0%,,
,4,                Subida de aplicación y pruebas de conectividad,No se ha iniciado,"Sixmanager, BCI, Calypso",,,0%,,
,4,                Creación de rutas de Servicios,No se ha iniciado,"Sixmanager, BCI, Calypso",,,0%,,
,4,                Creación de rutas externas,No se ha iniciado,"Sixmanager, BCI, Calypso",,,0%,,
,4,                Pruebas de aplicación,No se ha iniciado,"Sixmanager, BCI, Calypso",,,0%,,
,4,                Fin despliegue aplicación,No se ha iniciado,"Sixmanager, BCI, Calypso",,,0%,,
,4,                Cierre formal de la Fase Producción,,,,,0%,,
,4,                Reunión de entrega de documentación y presentación de la solución,No se ha iniciado,Sixmanager,,,0%,,
,4,                Paso a Producción,No se ha iniciado,,,,0%,,
,4,                Preparación de ambientes DEV para Operación,No se ha iniciado,,,,0%,,
,4,                Integración con Observabilidad y monitoreo de cliente (Nagios - Dynatrace),No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Integración con repositorio Git,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Integración Active Directory,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Integración con Respaldos de cliente,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Generación de certificados (No mandatorio para la instalación),No se ha iniciado,BCI,,,0%,,
,4,                Monitoreo del Cluster,No se ha iniciado,Sixmanager,,,0%,,
,4,                Cluster DEV listo para operación,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Preparación de ambientes PROD para Operación,,,,,0%,,
,4,                Integración con Observabilidad y monitoreo de cliente (Nagios - Dynatrace),No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Integración Active Directory,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Integración con Respaldos de cliente,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Generación de certificados (No mandatorio para la instalación),No se ha iniciado,BCI,,,0%,,
,4,                Monitoreo del Cluster,No se ha iniciado,Sixmanager,,,0%,,
,4,                Cluster Producción listo para operación,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Incorporación a sistema de monitoreo Sixmanager,No se ha iniciado,Sixmanager,,,0%,,
,4,                Traspaso a área de Administración,No se ha iniciado,Sixmanager,,,0%,,
,4,                Plan de DR,No se ha iniciado,,,,0%,,
,4,                Definición de SLA y condiciones,No se ha iniciado,"Sixmanager, BCI",,,0%,,
,4,                Construcción de procedimientos,No se ha iniciado,,,,0%,,
,4,                Openshift,No se ha iniciado,Sixmanager,,,0%,,
,4,                Bases de Datos,No se ha iniciado,Sixmanager,,,0%,,
,4,                Hypervisor,No se ha iniciado,Sixmanager,,,0%,,
,4,                Calypso,No se ha iniciado,Sixmanager,,,0%,,
,4,                Incorporación a sistema de tickets,No se ha iniciado,Sixmanager,,,0%,,
,4,                Puesta en marcha Cluster ACM,No se ha iniciado,,,,0%,,
,4,                Despliegue Openshift Bare Metal,No se ha iniciado,Sixmanager,,,0%,,
,4,                Configuraciones Post Instalación,No se ha iniciado,Sixmanager,,,0%,,
,4,                Integración con redes de cliente,No se ha iniciado,Sixmanager,,,0%,,
,4,                Pruebas Funcionales,No se ha iniciado,Sixmanager,,,0%,,
,4,                Sesión de entrega,No se ha iniciado,Sixmanager,,,0%,,
