,,,,,,,,,
,En riesgo,Nombre de la tarea,Estado,Asignado a,Fecha de inicio,Fecha de finalización,Porcentaje completo,Duración,Predecesores
60,,Integración con repositorio Git,No se ha iniciado,"Sixmanager, BCI",22/04/26,23/04/26,0%,1d,59
61,,Integración con Respaldos de cliente,No se ha iniciado,"Sixmanager, BCI",23/04/26,24/04/26,0%,1d,60
62,,Fin Etapa integración,No se ha iniciado,Sixmanager,24/04/26,24/04/26,0%,0,61
63,,Despliegue y migracion de aplicaciones en DEV/UAT/INT,,,17/04/26,27/04/26,0%,7d,
64,,Reunion de migracion,No se ha iniciado,"Sixmanager, BCI",17/04/26,17/04/26,0%,"0,5d",45; 53
65,,Revisión de prerrequisitos,No se ha iniciado,"Sixmanager, BCI",17/04/26,17/04/26,0%,"0,5d",64
66,,Despliegue de aplicaciones en GIT,No se ha iniciado,"Sixmanager, BCI",20/04/26,20/04/26,0%,1d,65
67,,Descarga de imagenes base,No se ha iniciado,"Sixmanager, BCI",21/04/26,21/04/26,0%,1d,66
68,,Integracion y despliegue de aplicación sobre OCP,No se ha iniciado,"Sixmanager, BCI",22/04/26,22/04/26,0%,1d,67
69,,Migracion de archivos YAML,No se ha iniciado,"Sixmanager, BCI",23/04/26,23/04/26,0%,1d,68
70,,Migracion de base de datos,No se ha iniciado,Sixmanager,24/04/26,24/04/26,0%,1d,69
71,,Pruebas de aplicación,No se ha iniciado,BCI,27/04/26,27/04/26,0%,1d,70
72,,Fin despliegue aplicación,No se ha iniciado,Sixmanager,27/04/26,27/04/26,0%,0,71
73,,Cierre formal de la Fase 1,,,28/04/26,29/04/26,0%,2d,
74,,Reunión de entrega de documentación y presentación de la solución,No se ha iniciado,"Sixmanager, BCI",28/04/26,28/04/26,0%,1d,72
75,,Soporte post implementación (evolutivo),No se ha iniciado,"Sixmanager, BCI",29/04/26,29/04/26,0%,1d,74
76,,Cierre Proyecto Etapa Preproducción,No se ha iniciado,"Sixmanager, BCI",28/04/26,28/04/26,0%,0,
77,,,,,,,,,
78,,,,,,,,,
79,,,,,,,,,
80,,,,,,,,,
